burst_timestamp,matched_macs,matched_rssi
2025-04-21T22:19:46.259036,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.305652,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.321397,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.342234,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.371978,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.382696,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.394381,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.408541,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.428546,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.455489,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.470195,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.501409,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.512882,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.524109,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.537553,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.544975,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.548904,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.554448,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.561597,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.568759,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.576758,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.586054,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.594121,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
2025-04-21T22:19:46.604386,['88:c6:26:3f:3b:75'],{'88:c6:26:3f:3b:75': -86.0}
